path	family	source	license	page_count	features	notes
fixtures/generated/acroform-text-field.pdf	existing-appearance	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	acroform,text-field,appearance,expected:native	Existing text-field appearance stream remains authoritative.
fixtures/generated/acroform-checkbox.pdf	existing-appearance	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	acroform,checkbox,appearance,expected:native	Existing checkbox appearance-state dictionary renders natively.
fixtures/generated/acroform-radio.pdf	existing-appearance	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	acroform,radio,appearance,on-state,expected:native	Existing radio on-state appearance renders natively.
fixtures/generated/acroform-combo-box-appearance.pdf	existing-appearance	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	acroform,choice,combo-box,appearance,expected:native	Filled combo-box widget with explicit normal appearance stream.
fixtures/generated/acroform-rotated-text-field-appearance.pdf	existing-appearance	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	acroform,text-field,rotated-field,appearance,expected:native	Filled rotated text-field widget with explicit normal appearance stream.
fixtures/generated/acroform-signature-placeholder.pdf	signature-boundary	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	acroform,signature,appearance,expected:native	Signature placeholder widget renders as static appearance only.
fixtures/generated/digital-signature-appearance.pdf	signature-boundary	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	signature,acroform,appearance,byterange,expected:native	Digital signature fixture with visible appearance and ByteRange metadata.
fixtures/generated/e-signature-contract-workflow.pdf	signature-boundary	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	e-signature,contract,signature,stamp,initials,date-field,appearance,byterange,expected:native	E-signature workflow fixture with static signature appearance and metadata boundary.
fixtures/generated/acroform-text-field-missing-appearance.pdf	synthesized-static	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	acroform,widget,text-field,missing-appearance,expected:native	Missing text-field appearance uses bounded deterministic thumbnail synthesis.
fixtures/generated/acroform-choice-missing-appearance.pdf	synthesized-static	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	acroform,choice,missing-appearance,expected:native	Missing choice-field appearance uses bounded deterministic thumbnail synthesis.
fixtures/generated/acroform-checkbox-missing-appearance.pdf	synthesized-static	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	acroform,checkbox,missing-appearance,expected:native	Missing checkbox appearance uses bounded deterministic thumbnail synthesis.
fixtures/generated/acroform-radio-missing-appearance.pdf	synthesized-static	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	acroform,radio,missing-appearance,expected:native	Missing radio appearance uses bounded deterministic thumbnail synthesis.
fixtures/generated/flattened-form-export.pdf	flattened-static	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	form,filled,flattened,static-page,expected:native	Filled form exported as static flattened page content without AcroForm fields.
fixtures/generated/business-form-stamp-signature.pdf	flattened-static	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	business-form,form,stamp,signature,barcode,checkbox,expected:native	Static business form with stamp, checkbox, barcode marker, and signature block.
fixtures/generated/government-permit-checkbox-form.pdf	flattened-static	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	government,permit,acroform,checkbox,appearance,barcode,stamp,signature,expected:native	Government permit-style form with visible stamp, barcode, signature line, and checkbox.
fixtures/generated/xfa-static-appearance.pdf	xfa-boundary	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	xfa,acroform,static-appearance,expected:native	Static XFA/AcroForm hybrid renders through existing appearance streams.
fixtures/generated/xfa-dynamic-no-static-appearance.pdf	xfa-boundary	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	xfa,dynamic,no-static-appearance,expected:unsupported	Dynamic XFA without static AcroForm fields remains a typed unsupported boundary.
