path	family	source	license	page_count	features	notes
fixtures/generated/scanner-skewed-mailroom-page.pdf	skew	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	scanner,mailroom,skewed,image,flate,expected:native	Generated skewed mailroom scan fixture with Flate-compressed DeviceGray image data.
fixtures/generated/scanner-large-image-budget.pdf	large-image	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	scanner,large-image,memory-budget,image,flate,expected:native	Generated large compressed scan image fixture for decode and thumbnail memory-budget coverage.
fixtures/generated/scanner-ocr-form-overlay.pdf	form-overlay	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	scanner,ocr,invisible-text,form-overlay,image,flate,expected:native	Generated scan-plus-form fixture with invisible OCR text and visible form overlay lines.
fixtures/generated/mobile-rotated-camera-scan.pdf	rotation	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	mobile-scan,camera,rotate,image,flate,expected:native	Existing mobile camera scan fixture with page rotation metadata.
fixtures/generated/mobile-cropped-photo-scan.pdf	crop	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	mobile-scan,camera,cropbox,image,flate,expected:native	Existing mobile photo scan fixture with CropBox selection.
fixtures/generated/mobile-ocr-overlay-scan.pdf	ocr-layer	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	mobile-scan,ocr,invisible-text,image,flate,expected:native	Existing mobile scan fixture with invisible OCR overlay text.
fixtures/generated/ocr-invisible-text-layer.pdf	ocr-layer	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	ocr,invisible-text,text-rendering-mode,scan,expected:native	Existing invisible OCR text layer baseline.
fixtures/generated/mobile-mixed-compression-scan.pdf	compression	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	mobile-scan,image,flate,dct,jpeg,mixed-compression,expected:native	Existing mobile scan fixture combining Flate and DCT image XObjects.
fixtures/generated/dct-image.pdf	compression	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	image,dct,jpeg,expected:native	Existing DCTDecode Image XObject fixture.
fixtures/generated/predictor-image.pdf	compression	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	image,flate,predictor,expected:native	Existing Flate PNG predictor image fixture.
fixtures/generated/unsupported-ccitt-image.pdf	unsupported-filter	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	image,codec,ccitt,unsupported,expected:native-unsupported	Generated CCITTFaxDecode unsupported-codec fixture.
fixtures/generated/unsupported-jbig2-image.pdf	unsupported-filter	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	image,codec,jbig2,unsupported,expected:native-unsupported	Generated JBIG2Decode unsupported-codec fixture.
fixtures/generated/unsupported-jpx-image.pdf	unsupported-filter	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	image,codec,jpx,unsupported,expected:native-unsupported	Generated JPXDecode unsupported-codec fixture.
