path	producer	producer_version	document_family	workflow	feature_pressure	expected_native	current_status	owner_route	notes
fixtures/generated/office-report-header-footer-link.pdf	LibreOffice Writer synthetic reduction	7.x-style	office-suite	report-export	header-footer;link-annotation;image;table	native	supported	0166 office vector/text fidelity	Synthetic reduction; not a guarantee for all LibreOffice output.
fixtures/generated/office-spreadsheet-chart-comments.pdf	LibreOffice Calc synthetic reduction	7.x-style	office-suite	spreadsheet-export	dense-grid;chart;comments;thin-strokes	native	supported	0166 office vector effects	Synthetic reduction for spreadsheet pressure.
fixtures/generated/office-presentation-handout.pdf	PowerPoint/Impress synthetic reduction	365/7.x-style	office-suite	presentation-handout	slide-thumbnails;image;chart;speaker-notes	native	supported	0204 chart/vector effects	Synthetic reduction for handout exports.
fixtures/generated/browser-chromium-article-print.pdf	Chromium print-to-PDF synthetic reduction	124-style	browser-print	article-print	css-background;hyperlink;image;table	native	supported	0167 browser print edge cases	Synthetic browser-print reduction.
fixtures/generated/browser-firefox-dashboard-print.pdf	Firefox print-to-PDF synthetic reduction	125-style	browser-print	dashboard-print	css-grid;cards;chart;table;small-text	native	supported	0167 browser print edge cases	Synthetic browser-print reduction.
fixtures/generated/browser-webkit-receipt-form-print.pdf	WebKit print-to-PDF synthetic reduction	Safari-style	browser-print	receipt-form-print	clipping;barcode;checkbox;css-overflow	native	supported	0167 browser print edge cases	Synthetic browser-print reduction.
fixtures/generated/scanner-skewed-mailroom-page.pdf	Mailroom scanner synthetic reduction	n/a	scanner	scan-intake	skewed-image;flate	native	supported	0170 image-heavy memory	Synthetic scanner workflow reduction.
fixtures/generated/mobile-mixed-compression-scan.pdf	Mobile scan app synthetic reduction	n/a	scanner	mobile-scan	mixed-compression;flate;dct	native	supported	0170 image-heavy memory	Synthetic mobile scan workflow reduction.
fixtures/generated/business-invoice-dense.pdf	Accounting export synthetic reduction	n/a	accounting	invoice-export	dense-table;barcode;logo;stamp;signature	native	supported	0166 office/vector fidelity	Synthetic accounting workflow reduction.
fixtures/generated/account-statement-ledger.pdf	Bank statement export synthetic reduction	n/a	accounting	statement-export	ledger;dense-table;barcode	native	supported	0166 office/vector fidelity	Synthetic statement workflow reduction.
fixtures/generated/government-permit-checkbox-form.pdf	Government form generator synthetic reduction	n/a	government-form	permit-form	acroform;checkbox;barcode;stamp;signature	native	supported	0206 form appearance coverage	Synthetic government form reduction.
fixtures/generated/government-tax-notice-barcode.pdf	Government notice generator synthetic reduction	n/a	government-form	tax-notice	table;barcode;stamp	native	supported	0206 form appearance coverage	Synthetic government notice reduction.
fixtures/generated/pdf20-basic-office.pdf	PDF 2.0 office export synthetic reduction	2.0	pdf20	office-export	pdf-2.0;catalog-version;text	native	supported	0181 PDF 2.0 usage corpus	Synthetic PDF 2.0 baseline.
fixtures/generated/optional-content-ocmd.pdf	Layered presentation export synthetic reduction	n/a	presentation	layered-presentation	optional-content;ocmd	typed-unsupported	graphics.optional-content	0192 optional-content policy	Known unsupported boundary.
fixtures/generated/unsupported-ccitt-image.pdf	Fax scanner export synthetic reduction	n/a	scanner	fax-image-codec	ccitt;image-filter	typed-unsupported	image.filter	0209 codec deployment policy	Known unsupported boundary.
