path	family	source	license	page_count	features	notes
fixtures/generated/office-report-header-footer-link.pdf	office-suite	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	producer:libreoffice-writer,word,header,footer,hyperlink,annotation,image,page-background,table,expected:native	Office-suite writer-style export reduction with header, footer, image, link annotation, and table pressure.
fixtures/generated/office-spreadsheet-chart-comments.pdf	office-suite	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	producer:libreoffice-calc,spreadsheet,chart,comments,table,thin-strokes,small-text,expected:native	Office-suite spreadsheet export reduction with chart, visible comments, dense cells, and thin strokes.
fixtures/generated/office-presentation-handout.pdf	office-suite	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	producer:powerpoint-impress,presentation,handout,image,chart,speaker-notes,page-background,expected:native	Presentation handout reduction with slide thumbnails, image, chart, and notes.
fixtures/generated/browser-chromium-article-print.pdf	browser	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	producer:chromium-print,article,css-background,hyperlink,annotation,image,table,text,expected:native	Chromium-style article print fixture with CSS backgrounds, table, image, and link annotation.
fixtures/generated/browser-firefox-dashboard-print.pdf	browser	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	producer:firefox-print,dashboard,css-grid,cards,chart,table,small-text,expected:native	Firefox-style dashboard print reduction with cards, chart, and detail table.
fixtures/generated/browser-webkit-receipt-form-print.pdf	browser	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	producer:webkit-print,receipt,form,clipping,barcode,checkbox,css-overflow,expected:native	WebKit-style receipt and form print reduction with clipping and barcode pressure.
fixtures/generated/scanner-skewed-mailroom-page.pdf	scanner	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	producer:scanner-mailroom,scanner,mailroom,skewed,image,flate,expected:native	Scanner/mailroom page reduction with skewed image-like content.
fixtures/generated/mobile-mixed-compression-scan.pdf	scanner	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	producer:mobile-scan-app,mobile-scan,image,flate,dct,jpeg,mixed-compression,expected:native	Mobile scan-app reduction combining Flate and DCT image XObjects.
fixtures/generated/business-invoice-dense.pdf	accounting	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	producer:accounting-export,invoice,business-document,table,barcode,logo,stamp,signature,dense-totals,expected:native	Accounting-style dense invoice export with table, barcode, logo, stamp, and signature pressure.
fixtures/generated/account-statement-ledger.pdf	accounting	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	producer:bank-statement-export,statement,business-document,ledger,barcode,dense-table,expected:native	Bank/account statement ledger reduction with dense transaction rows.
fixtures/generated/government-permit-checkbox-form.pdf	government	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	producer:government-form-generator,government,permit,acroform,checkbox,appearance,barcode,stamp,signature,expected:native	Government permit form reduction with checkbox, barcode, stamp, and signature line.
fixtures/generated/government-tax-notice-barcode.pdf	government	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	producer:government-notice-generator,government,tax,notice,barcode,stamp,table,expected:native	Government tax notice reduction with table geometry, stamp, and barcode.
fixtures/generated/pdf20-basic-office.pdf	pdf20	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	producer:pdf-2.0-office-export,pdf-2.0,catalog-version,text,expected:native	PDF 2.0 office-style baseline using existing native rendering features.
fixtures/generated/optional-content-ocmd.pdf	unsupported-boundary	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	producer:layered-presentation-export,optional-content,ocmd,expected:native-unsupported	Layered presentation boundary that remains typed graphics.optional-content.
fixtures/generated/unsupported-ccitt-image.pdf	unsupported-boundary	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	producer:fax-scanner-export,image,codec,ccitt,unsupported,expected:native-unsupported	Fax/scanner image-codec boundary that remains typed image.filter.
