path	family	source	license	page_count	features	notes
fixtures/generated/chart-combo-legend.pdf	chart-legend	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	chart,dashboard,legend,bar,line,small-text,expected:native	Generated combo chart fixture with bars, trend line, legend, axis, and labels.
fixtures/generated/financial-chart-summary.pdf	chart-legend	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	financial,kpi,chart,legend,table,expected:native	Generated financial KPI chart summary with bars, line trend, and summary table.
fixtures/generated/office-spreadsheet-chart-comments.pdf	chart-table-overlay	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	spreadsheet,chart,comments,table,thin-strokes,small-text,expected:native	Generated spreadsheet-style fixture with dense cells, chart area, and visible comment markers.
fixtures/generated/slide-rotated-callout.pdf	slide-chart-callout	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	presentation,slide,chart,rotated-text,transparency,expected:native	Generated chart-style slide with translucent callout panel and rotated label text.
fixtures/generated/slide-title-gradient.pdf	gradient-slide	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	presentation,slide,title,axial-gradient,shadow,text,expected:native	Generated title slide with axial gradient background, translucent shadow, and positioned text.
fixtures/generated/office-vector-grouped-shapes.pdf	grouped-vector	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	office-export,vector,grouped-shapes,expected:native	Generated office-style grouped vector shapes fixture.
fixtures/generated/office-vector-nested-clips.pdf	nested-vector-clips	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	office-export,vector,clipping,nested-clips,expected:native	Generated office-style nested clipping fixture.
fixtures/generated/office-vector-clipped-transparency-group.pdf	nested-vector-clips	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	office-export,vector,clipping,transparency-group,expected:native	Generated office-style clipped transparency group fixture.
fixtures/generated/office-vector-repeated-effects.pdf	repeated-vector-effects	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	office-export,vector,repeated-effects,transparency,expected:native	Generated repeated decorative office vector effects fixture.
fixtures/generated/vector-stress.pdf	repeated-vector-effects	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	vector,stress,clipping,curve,chart,expected:native	Existing vector-heavy chart stress fixture for many small path workloads.
