path	family	source	license	page_count	features	notes
fixtures/generated/annotation-appearance.pdf	appearance-stream	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	annotation,stamp,appearance,expected:native	Existing normal stamp appearance-stream fixture.
fixtures/generated/highlight-annotation-appearance.pdf	appearance-stream	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	annotation,highlight,appearance,expected:native	Existing highlight annotation appearance-stream fixture.
fixtures/generated/freetext-annotation-appearance.pdf	appearance-stream	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	annotation,freetext,appearance,expected:native	FreeText annotation with explicit normal appearance stream.
fixtures/generated/stamp-annotation-rotated-appearance.pdf	stamp-appearance	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	annotation,stamp,rotated,print,appearance,expected:native	Print-visible rotated stamp annotation with explicit normal appearance.
fixtures/generated/annotation-print-preview-flags.pdf	print-state	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	annotation,appearance,flags,print-preview,expected:native	Annotation flag fixture for screen and print-preview visibility.
fixtures/generated/highlight-annotation-without-appearance.pdf	synthesized-markup	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	annotation,highlight,missing-appearance,expected:native	Synthesized highlight annotation fallback fixture.
fixtures/generated/markup-annotations-without-appearance.pdf	synthesized-markup	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	annotation,underline,square,circle,missing-appearance,expected:native	Synthesized review-markup annotation fallback fixture.
fixtures/generated/text-note-annotation-without-appearance.pdf	popup-boundary	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	annotation,text-note,missing-appearance,expected:native	Synthesized text-note annotation fallback fixture.
fixtures/generated/popup-annotation-inert-state.pdf	popup-boundary	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	annotation,popup,text-note,inert,expected:native	Popup annotation metadata remains inert while the parent text note renders statically.
fixtures/generated/link-annotation-without-appearance.pdf	nonvisual-link	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	annotation,link,missing-appearance,expected:native	Appearance-free link annotation remains visually inert.
fixtures/generated/freetext-annotation-without-appearance.pdf	unsupported-synthesis	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	annotation,freetext,missing-appearance,expected:unsupported	FreeText annotation without appearance stream remains typed annotation.appearance unsupported.
