fixture	family	backend	platform_os	platform_arch	page_index	max_edge	width	height	decoded_pixel_hash	encoded_artifact_hash	hash_algorithm	tolerance_policy	reviewer	reviewed_at	notes
fixtures/generated/acroform-checkbox-stale-appearance-state.pdf	form	rust-native	any	any	0	160	80	80	c793c6385cb13355	1fbea453e8e84bf7	fnv1a64	exact	ferrugo-maintainers	2026-07-05	Generated AcroForm checkbox with `/V /Yes` but `/AS /Off`; native renders the existing appearance state.
fixtures/generated/acroform-combo-box-appearance.pdf	form	rust-native	any	any	0	160	160	100	b4776406ee6e5c38	68c72ede5502f2ad	fnv1a64	exact	ferrugo-maintainers	2026-07-05	Generated filled combo-box widget with explicit normal appearance stream.
fixtures/generated/acroform-rotated-text-field-appearance.pdf	form	rust-native	any	any	0	160	140	140	79f5e9bcd7d1c6f4	35b61ef80056eba2	fnv1a64	exact	ferrugo-maintainers	2026-07-05	Generated filled rotated text-field widget with explicit normal appearance stream.
fixtures/generated/acroform-text-field-stale-appearance.pdf	form	rust-native	any	any	0	160	140	80	13f3ecb738791ae5	8973b95b4043be18	fnv1a64	exact	ferrugo-maintainers	2026-07-05	Generated AcroForm text field where `/V` differs from the existing normal appearance stream.
fixtures/generated/annotation-print-preview-flags.pdf	mixed-layout	rust-native	any	any	0	160	160	71	1fc9d57d9aec2825	7da17bc53449bff5	fnv1a64	exact	ferrugo-maintainers	2026-07-05	Generated annotation flag fixture for screen and print-preview visibility.
fixtures/generated/blend-mode-array-fallback.pdf	report	rust-native	any	any	0	160	120	120	a9c896642f5e2d25	62dd9eaa0c1bb78a	fnv1a64	exact	ferrugo-maintainers	2026-07-05	Generated blend-mode array fixture with visually invariant black source fallback.
fixtures/generated/browser-print-sticky-headers.pdf	browser-print	rust-native	any	any	0	160	160	160	48e390c2acd67594	ebe5f7b10660b8a4	fnv1a64	exact	ferrugo-maintainers	2026-07-05	Generated browser-print sticky/repeated table header fixture.
fixtures/generated/browser-print-clipped-backgrounds.pdf	browser-print	rust-native	any	any	0	160	160	160	2fa8f7019fdcd765	eac650809d43117d	fnv1a64	exact	ferrugo-maintainers	2026-07-05	Generated browser-print clipped background panels fixture.
fixtures/generated/browser-print-transformed-cards.pdf	browser-print	rust-native	any	any	0	160	160	160	9e4651aebfa7d9a5	63a6a93d1891cebc	fnv1a64	exact	ferrugo-maintainers	2026-07-05	Generated browser-print transformed card fixture.
fixtures/generated/browser-print-raster-vector-mix.pdf	browser-print	rust-native	any	any	0	160	160	160	ff30c5c6927fffbd	ebf29ec713363249	fnv1a64	exact	ferrugo-maintainers	2026-07-05	Generated browser-print raster/vector mixed content fixture.
fixtures/generated/email-client-thread.pdf	email-web-archive	rust-native	any	any	0	160	114	160	8159baf4bbde2e96	78bc8a011d8777c2	fnv1a64	exact	ferrugo-maintainers	2026-07-05	Generated email client thread print fixture with repeated reply panels.
fixtures/generated/email-inline-image-link.pdf	email-web-archive	rust-native	any	any	0	160	160	135	2928ea13a7b4a55b	6f035a85beb2f7de	fnv1a64	exact	ferrugo-maintainers	2026-07-05	Generated mobile mail-style fixture with inline image and inert link annotation.
fixtures/generated/web-archive-snapshot.pdf	email-web-archive	rust-native	any	any	0	160	142	160	eab421e95a1f42ac	72e8ec5a6b572cce	fnv1a64	exact	ferrugo-maintainers	2026-07-05	Generated saved web archive snapshot with article/sidebar layout.
