path	workflow	producer	producer_version	document_family	feature_pressure	profile	expected_native	current_status	typed_cause	owner_route	minimization_notes
fixtures/generated/office-report-header-footer-link.pdf	report-export	LibreOffice Writer synthetic reduction	7.x-style	fused-report	header-footer;link-annotation;image;table	server	native	supported	none	0166 office vector/text fidelity	Generated one-page reduction; no private content or real producer file.
fixtures/generated/browser-chromium-article-print.pdf	report-export	Chromium print synthetic reduction	124-style	fused-report	css-background;hyperlink;image;table	server	native	supported	none	0167 browser print edge cases	Generated one-page reduction matching browser report/article pressure.
fixtures/generated/financial-annual-report-page.pdf	report-export	Financial report generator synthetic reduction	n/a	fused-report	statement-table;chart;stamp;signature	server	native	supported	none	0149 financial report fidelity	Generated one-page reduction for annual-report style pressure.
fixtures/generated/multi-page-report.pdf	report-export	Server report generator synthetic reduction	n/a	fused-report	multipage;table;header	server	native	supported	none	0195 high page count batch gate	Generated two-page reduction; gate renders page zero for CI speed.
fixtures/generated/office-spreadsheet-chart-comments.pdf	tabular-statement	LibreOffice Calc synthetic reduction	7.x-style	fused-table-statement	spreadsheet;chart;comments;thin-strokes	server	native	supported	none	0203 dense office table	Generated one-page reduction with dense grid pressure.
fixtures/generated/account-statement-ledger.pdf	tabular-statement	Bank statement export synthetic reduction	n/a	fused-table-statement	ledger;dense-table;barcode	server	native	supported	none	0203 dense office table	Generated ledger reduction with no account or customer data.
fixtures/generated/business-invoice-dense.pdf	tabular-statement	Accounting export synthetic reduction	n/a	fused-table-statement	dense-totals;barcode;stamp;signature	server	native	supported	none	0203 dense office table	Generated invoice reduction with synthetic totals only.
fixtures/generated/government-tax-notice-barcode.pdf	tabular-statement	Government notice synthetic reduction	n/a	fused-table-statement	tax-notice;table;barcode;stamp	server	native	supported	none	0148 government coverage	Generated tax-notice reduction with no real agency data.
fixtures/generated/government-permit-checkbox-form.pdf	form-with-marks	Government form synthetic reduction	n/a	fused-form	acroform;checkbox;barcode;stamp;signature	server	native	supported	none	0206 form appearance coverage	Generated permit-form reduction.
fixtures/generated/business-form-stamp-signature.pdf	form-with-marks	Accounting form synthetic reduction	n/a	fused-form	form;stamp;signature;barcode;checkbox	server	native	supported	none	0206 form appearance coverage	Generated static business form reduction.
fixtures/generated/browser-webkit-receipt-form-print.pdf	form-with-marks	WebKit print synthetic reduction	Safari-style	fused-form	receipt;form;clipping;barcode;checkbox	server	native	supported	none	0167 browser print edge cases	Generated browser-print form reduction.
fixtures/generated/scanner-skewed-mailroom-page.pdf	scan-ingest	Mailroom scanner synthetic reduction	n/a	fused-scan	skewed-image;flate	server	native	supported	none	0170 image-heavy memory	Generated scan-like image fixture.
fixtures/generated/mobile-mixed-compression-scan.pdf	scan-ingest	Mobile scan app synthetic reduction	n/a	fused-scan	mixed-compression;flate;dct	server	native	supported	none	0170 image-heavy memory	Generated mobile scan reduction.
fixtures/generated/legal-scanned-attachment-packet.pdf	scan-ingest	Legal scanner assembly synthetic reduction	n/a	fused-scan	scanned-attachment;stamp;image	server	native	supported	none	0130 legal contract coverage	Generated legal packet reduction with placeholder content.
fixtures/generated/scanner-ocr-form-overlay.pdf	scan-ingest	OCR scanner workflow synthetic reduction	n/a	fused-scan	ocr;invisible-text;form-overlay;image	server	native	supported	none	0147 scanner and OCR workflow	Generated OCR overlay reduction with synthetic text.
fixtures/generated/office-presentation-handout.pdf	dashboard-map-export	PowerPoint/Impress synthetic reduction	365/7.x-style	fused-dashboard-map	handout;image;chart;speaker-notes	server	native	supported	none	0204 chart vector effects	Generated presentation handout reduction.
fixtures/generated/browser-firefox-dashboard-print.pdf	dashboard-map-export	Firefox print synthetic reduction	125-style	fused-dashboard-map	css-grid;cards;chart;table;small-text	server	native	supported	none	0167 browser print edge cases	Generated dashboard print reduction.
fixtures/generated/dashboard-heatmap-overlay.pdf	dashboard-map-export	Analytics dashboard synthetic reduction	n/a	fused-dashboard-map	heatmap;overlay;table	server	native	supported	none	0153 dashboard coverage	Generated dashboard reduction with synthetic values.
fixtures/generated/map-raster-tile-routes.pdf	dashboard-map-export	GIS route export synthetic reduction	n/a	fused-dashboard-map	map;raster-tile;routes;labels	server	native	supported	none	0152 map rendering coverage	Generated route-map reduction.
fixtures/generated/map-marker-clusters.pdf	dashboard-map-export	GIS cluster export synthetic reduction	n/a	fused-dashboard-map	map;markers;clusters;labels	server	native	supported	none	0152 map rendering coverage	Generated marker-cluster reduction.
fixtures/generated/optional-content-ocmd.pdf	unsupported-boundary	Layered presentation synthetic reduction	n/a	fused-unsupported-boundary	optional-content;ocmd	server	typed-unsupported	typed-unsupported	graphics.optional-content	0192 optional-content-ui-state	Generated boundary fixture; kept visible as typed unsupported.
fixtures/generated/unsupported-ccitt-image.pdf	unsupported-boundary	Fax scanner synthetic reduction	n/a	fused-unsupported-boundary	ccitt;image-filter	server	typed-unsupported	typed-unsupported	image.filter	0209 rust-native-image-codec	Generated boundary fixture; kept visible as typed unsupported.
