path	family	source	license	page_count	features	notes
fixtures/generated/office-report-header-footer-link.pdf	fused-report	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	producer:libreoffice-writer,workflow:report-export,office-suite,header,footer,hyperlink,annotation,image,table,expected:native	Writer-style report export reduction with header/footer, image, table, and link annotation.
fixtures/generated/browser-chromium-article-print.pdf	fused-report	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	producer:chromium-print,workflow:report-export,browser-print,article,css-background,hyperlink,annotation,image,table,expected:native	Browser article print reduction for report-like pages with CSS background and links.
fixtures/generated/financial-annual-report-page.pdf	fused-report	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	producer:financial-report-generator,workflow:report-export,financial-report,table,chart,stamp,signature,expected:native	Financial report generator reduction with dense statement and visual markers.
fixtures/generated/multi-page-report.pdf	fused-report	scripts/generate_fixtures.py	MIT OR Apache-2.0	2	producer:server-report-generator,workflow:report-export,multipage,table,header,expected:native	Server-side multi-page report reduction with repeated table structure.
fixtures/generated/office-spreadsheet-chart-comments.pdf	fused-table-statement	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	producer:libreoffice-calc,workflow:tabular-statement,spreadsheet,chart,comments,table,thin-strokes,small-text,expected:native	Spreadsheet export reduction with chart, comments, dense cells, and thin strokes.
fixtures/generated/account-statement-ledger.pdf	fused-table-statement	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	producer:bank-statement-export,workflow:tabular-statement,statement,ledger,dense-table,barcode,expected:native	Bank statement reduction with transaction ledger and barcode marker.
fixtures/generated/business-invoice-dense.pdf	fused-table-statement	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	producer:accounting-export,workflow:tabular-statement,invoice,dense-totals,barcode,logo,stamp,signature,expected:native	Accounting invoice reduction with dense totals, barcode, stamp, and signature pressure.
fixtures/generated/government-tax-notice-barcode.pdf	fused-table-statement	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	producer:government-notice-generator,workflow:tabular-statement,government,tax,notice,barcode,stamp,table,expected:native	Government tax notice reduction with strict table geometry and barcode.
fixtures/generated/government-permit-checkbox-form.pdf	fused-form	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	producer:government-form-generator,workflow:form-with-marks,government,permit,acroform,checkbox,appearance,barcode,stamp,signature,expected:native	Government permit form reduction with widget appearance, stamp, and signature line.
fixtures/generated/business-form-stamp-signature.pdf	fused-form	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	producer:accounting-form-export,workflow:form-with-marks,business-form,form,stamp,signature,barcode,checkbox,expected:native	Business form reduction with static stamp, signature, barcode, and checkbox.
fixtures/generated/browser-webkit-receipt-form-print.pdf	fused-form	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	producer:webkit-print,workflow:form-with-marks,browser-print,receipt,form,clipping,barcode,checkbox,css-overflow,expected:native	WebKit print reduction with form-like receipt content, clipping, and barcode pressure.
fixtures/generated/scanner-skewed-mailroom-page.pdf	fused-scan	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	producer:mailroom-scanner,workflow:scan-ingest,scanner,mailroom,skewed,image,flate,expected:native	Mailroom scanner reduction with skewed image-like content.
fixtures/generated/mobile-mixed-compression-scan.pdf	fused-scan	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	producer:mobile-scan-app,workflow:scan-ingest,mobile-scan,image,flate,dct,jpeg,mixed-compression,expected:native	Mobile scan app reduction combining Flate and DCT image XObjects.
fixtures/generated/legal-scanned-attachment-packet.pdf	fused-scan	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	producer:legal-scanner-assembly,workflow:scan-ingest,legal,scanned-attachment,image,stamp,expected:native	Legal attachment packet reduction for scan-heavy document assembly.
fixtures/generated/scanner-ocr-form-overlay.pdf	fused-scan	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	producer:ocr-scanner-workflow,workflow:scan-ingest,scanner,ocr,invisible-text,form-overlay,image,expected:native	Scan plus OCR/form overlay reduction with invisible text and visible form lines.
fixtures/generated/office-presentation-handout.pdf	fused-dashboard-map	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	producer:powerpoint-impress,workflow:dashboard-map-export,presentation,handout,image,chart,speaker-notes,page-background,expected:native	Presentation handout reduction with slide thumbnails, image, chart, and notes.
fixtures/generated/browser-firefox-dashboard-print.pdf	fused-dashboard-map	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	producer:firefox-print,workflow:dashboard-map-export,browser-print,dashboard,css-grid,cards,chart,table,small-text,expected:native	Browser dashboard print reduction with grid cards, chart, and table.
fixtures/generated/dashboard-heatmap-overlay.pdf	fused-dashboard-map	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	producer:analytics-dashboard-export,workflow:dashboard-map-export,dashboard,heatmap,overlay,table,expected:native	Analytics dashboard reduction with heatmap overlay and tabular detail.
