path	family	source	license	page_count	features	notes
fixtures/generated/legal-contract-signature-blocks.pdf	contract	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	legal,contract,signature,stamp,text,expected:native	Generated contract-style page with clauses, stamp, and visible signature block.
fixtures/generated/digital-signature-appearance.pdf	contract	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	acroform,signature,appearance,byterange,legal,expected:native	Existing visible digital signature appearance fixture with ByteRange metadata.
fixtures/generated/acroform-signature-placeholder.pdf	contract	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	acroform,signature,appearance,legal,expected:native	Existing signature placeholder widget appearance fixture.
fixtures/generated/legal-filing-stamp-comments.pdf	filing	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	legal,filing,stamp,highlight,comment,expected:native	Generated court filing-style page with visible stamp, highlight, and comment marker.
fixtures/generated/highlight-annotation-appearance.pdf	filing	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	annotation,highlight,appearance,legal,expected:native	Existing text-markup highlight appearance fixture.
fixtures/generated/text-note-annotation-without-appearance.pdf	filing	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	annotation,text-note,missing-appearance,legal,expected:native	Existing text note annotation fallback fixture without appearance stream.
fixtures/generated/legal-visible-redactions.pdf	redaction	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	legal,redaction,visible-redaction,text,expected:native	Generated legal declaration page with visible black redaction rectangles as page content.
fixtures/generated/markup-annotations-without-appearance.pdf	redaction	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	annotation,underline,square,circle,missing-appearance,legal,expected:native	Existing markup annotation fallback fixture used as a legal markup baseline.
fixtures/generated/legal-scanned-attachment-packet.pdf	scanned-attachment	scripts/generate_fixtures.py	MIT OR Apache-2.0	2	legal,attachment,scan,multipage,redaction,expected:native	Generated two-page legal attachment packet with an image-dominant scanned exhibit page.
fixtures/generated/mobile-cropped-photo-scan.pdf	scanned-attachment	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	mobile-scan,camera,cropbox,image,flate,legal,expected:native	Existing mobile photo scan fixture used as a scanned legal attachment proxy.
fixtures/generated/annotation-missing-appearance.pdf	missing-appearance	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	annotation,missing-appearance,legal,expected:native	Existing annotation without usable appearance stream.
fixtures/generated/acroform-text-field-missing-appearance.pdf	missing-appearance	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	acroform,widget,text-field,missing-appearance,legal,expected:native	Existing AcroForm text field fallback fixture without appearance stream.
fixtures/generated/highlight-annotation-without-appearance.pdf	missing-appearance	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	annotation,highlight,missing-appearance,legal,expected:native	Existing text-markup highlight fallback fixture without appearance stream.
